hour,temperature,precipitation,wind
0,16.92,0,10.74
1,16.81,0,8.91
2,16.66,0,8.4
3,16.64,0,5.4
4,16.71,0,4.83
5,16.71,0,2.55
6,16.75,0,2.55
7,16.76,0,5.05
8,17.15,0,4.1
9,18.23,0,1.61
10,20.19,0,1.8
11,22.85,0,2.74
12,25.2,0,6.12
13,24.8,0,16.68
14,25.51,0,18.4
15,25.48,0,20.95
16,25.32,0,23.04
17,24.72,0,23.34
18,23.82,0,22.93
19,22.69,0,21.75
20,21.29,0,20.38
21,19.53,0,19.14
22,18.97,0,16.68
23,18.43,0,15.38
0,17.84,0,14.71
1,17.09,0,14.33
2,16.8,0,13.38
3,16.99,0,11.27
4,17.22,0,9.09
5,17.45,0,6.11
6,17.59,0,3.89
7,17.87,0,3.67
8,18.41,0,6.29
9,19.47,0,7.92
10,21.26,0,9.03
11,22.4,0,9.9
12,24.56,0,12.9
13,25.5,0,19.34
14,25.77,0,21.42
15,25.72,0,21.58
16,25.92,0,23.54
17,25.17,0,25.73
18,24.05,0,25.93
19,22.51,0,26.58
20,20.91,0,25.41
21,18.78,0,24.22
22,17.75,0,22.71
23,17.34,0,21.96
0,17.1,0,21.61
1,16.51,0,21.99
2,16.27,0,19.81
3,16.37,0,19.81
4,16.32,0,19.81
5,16.11,0,19.44
6,16.03,0,18.72
7,16.18,0,17.64
8,17.71,0,20.16
9,19.62,0,23.5
10,21.19,0,26.8
11,22.4,0,29.3
12,23.37,0,31.35
13,24.55,0,32.04
14,24.83,0,32.78
15,24.63,0,34.29
16,24.26,0,35.46
17,23.63,0,36.5
18,22.9,0,35.79
19,21.99,0,34.65
20,20.66,0,32.83
21,19.15,0,29.6
22,18.16,0,27.74
23,17.66,0,26.3
0,17.39,0,25.62
1,17.38,0,28.14
2,16.76,0,27.6
3,16.69,0,27.87
4,16.64,0,28.23
5,16.47,0,27.8
6,16.26,0,26.66
7,16.35,0,25.56
8,18.04,0,28.09
9,19.82,0,31.39
10,21.28,0,31.42
11,22.58,0,31.39
12,23.59,0,31.68
13,24.8,0,31.68
14,25.28,0,32.78
15,25.36,0,33.53
16,25.22,0,33.99
17,24.78,0,34.07
18,24.05,0,33.28
19,22.93,0,32.11
20,21.54,0,29.56
21,19.75,0,25.22
22,18.85,0,23.04
23,18.22,0,21.96
