hour,temperature,precipitation,wind
0,16.28,0,14.04
1,16.11,0,12.22
2,15.67,0,13.7
3,15.62,0,14.76
4,15.96,0,13.68
5,16.55,0,15.48
6,16.71,0.1,18.47
7,14.64,0.3,32.36
8,15.32,0.2,30.26
9,14.96,0.1,26.58
10,17.08,0,25.12
11,18.25,0,23.45
12,17.28,0,24.25
13,18.3,0,29.62
14,18.39,0,29.34
15,18.4,0,29.52
16,18.27,0,32.06
17,17.61,0,31.37
18,16.85,0,29.3
19,16.03,0,25.41
20,15.18,0,18.58
21,14.32,0,9.79
22,13.51,0,8.12
23,12.78,0,16.12
0,12.08,0,15.38
1,11.47,0,17.06
2,11.6,0,19.83
3,12.22,0,23.42
4,12.86,0,24.55
5,13.83,0,28.55
6,14.61,0,32.2
7,15.62,0,33.71
8,16.06,0,32.86
9,16.65,0,31.33
10,18.07,0.1,33.5
11,18.37,0,35.65
12,18.89,0,36.12
13,19.48,0,36.76
14,19.74,0,36.39
15,19.95,0,36.73
16,20.49,0,38.16
17,20.49,0,38.53
18,20.17,0,37.45
19,19.69,0,33.67
20,19.21,0,28.77
21,18.42,0,24.74
22,17.59,0,19.85
23,16.09,0.9,19.81
0,13.38,2.2,12.02
1,12.2,2.9,13.39
2,12.21,0.9,8.44
3,12.03,0,10.95
4,11.62,0,10.2
5,11.43,0,9.96
6,11.38,0,10.7
7,11.88,0,10.7
8,13.37,0,11.59
9,13.95,0,12.41
10,14.51,0,15.75
11,14.99,0,18.16
12,17.84,0.1,22
13,16.86,0.1,23.22
14,15.51,0.4,24.1
15,15.02,0.3,20.19
16,14.94,0.3,22.33
17,14.48,0.1,22.25
18,13.23,0.1,18.04
19,13.91,0,11.57
20,13.82,0,12.5
21,13.49,0,10.81
22,13.25,0,11.17
23,12.71,0,8.05
0,12.35,0,4.1
1,12.23,0,4.9
2,12.14,0,7.59
3,11.69,0,9.29
4,11.44,0,9.02
5,11.54,0,9.57
6,12.25,0,12.3
7,12.73,0,15.48
8,14.24,0,16.6
9,15.88,0,16.62
10,16.53,0,18.13
11,16.87,0.1,18.23
12,17.8,0,20.42
13,16.58,0.2,20.55
14,17.05,0.6,19.45
15,16.74,0.4,18.18
16,17.46,0,17.65
17,17.49,0,15.94
18,17.58,0,16.43
19,17.75,0,16.14
20,16.56,0,10.09
21,15.74,0,8.43
22,15.21,0.1,7.95
23,14.06,0,11.17
